"","num.par_cz","char.par_czname","char.par_stateabbrv","num.par_stateabbrv","char.pop2000","num.pop2000","num.intersects_msa","num.cs_race_black","num.cs_race_theil_2000","num.cs00_seg_inc","num.cs00_seg_inc_pov25","num.cs00_seg_inc_aff75","num.frac_traveltime","num.hhinc00","num.hhinc002","num.gini","num.inc_share_1perc","num.gini99","num.frac_middleclass","num.inc_shar_1perc2","num.taxrate","num.subcty_total_exp","num.tax_st_diff_top20","num.eitc_exposure","num.ccd_exp_total","num.ccd_pup","num.score_r","num.dropout_r","num.num_inst_pc","num.tuition","num.gradrate_r","num.cs_labforce","num.cs_elf_ind_man","num.tradeusch","num.frac_worked","num.mig_inflow","num.mig_outflow","num.cs_born_foreign","num.scap","num.reltotal","num.crime","num.cs_family","num.cs_divorced","num.cs_married","num.inc_growth"
"19",1204,"Andrews","NC",28,"59,681",NA,0,0.00934970937669277,0.0505970157682896,0.00774347456172109,0.00742220971733332,0.00727367959916592,0.360847860574722,33712.03125,33712.03125,0.8473299741745,55.8210029602051,0.289119958877563,0.519370019435883,3115.98437148322,0.0115324631333351,1931.54187011719,1,0,5.16721613469652,15.6847566031032,1.5512375831604,0.0165892858058214,0.0335115045309067,7563.41650390625,-0.110152065753937,0.524620473384857,0.153830707073212,2.85294303979317,0.00485270004719496,0.0115112012198187,0.00433973961562306,0.0147021971642971,-0.999300480950087,0.54910272359848,0.00162530783563852,0.165664121508598,0.0885636657476425,0.647609412670135,0.00485571939498186
"20",1301,"Bennettsville","SC",41,"71,586",NA,0,0.399561375379562,0.0765086337924004,0.00988598167896271,0.00833978690207005,0.00724180927500129,0.340033203363419,25531.40625,25531.40625,0.455170005559921,12.7829999923706,0.327340006828308,0.439469993114471,163.405088804947,0.017442537471652,1335.09973144531,0,0,5.49295637545979,14.9029032978486,-10.9195709228516,0.0186959356069565,0.0139692118391395,1272,-0.111954018473625,0.574463307857513,0.359634339809418,2.82832354839367,0.0023744001518935,0.0153102561953455,0.0180063140837594,0.0123571958392859,-2.44013893155534,0.489858359098434,0.00375771801918745,0.316179007291794,0.0912358313798904,0.518606603145599,-0.0244719702750444
"21",1302,"Florence","SC",41,"548,986",NA,1,0.340770065784454,0.201328814029694,0.0467402040958405,0.0536623299121857,0.0426534712314606,0.326660186052322,32610.357421875,32610.357421875,0.551739990711212,13.6750001907349,0.41499000787735,0.421689987182617,187.005630216599,0.0172930024564266,1725.84692382812,0,0,5.70984791505378,15.8712236231214,-2.10592198371887,-0.0174999721348286,0.0127507802098989,3523.30615234375,-0.0324808657169342,0.614527404308319,0.161730051040649,1.05979349723774,0.00382010010071099,0.0229495834137847,0.0135231135220206,0.023216562345624,-1.95841368066369,0.435710579156876,0.0029345010407269,0.294690996408463,0.0951240807771683,0.529471099376678,-0.00609238771721721
"22",1400,"Fayetteville","NC",28,"644,101",NA,1,0.298535466194153,0.173293337225914,0.0519757717847824,0.0525658838450909,0.0477868542075157,0.321663111448288,29959.111328125,29959.111328125,0.462799996137619,11.4899997711182,0.347900003194809,0.494080007076263,132.020094740295,0.0133783891797066,2089.7978515625,1,0,4.86601872202578,16.3427436907524,-5.48359441757202,0.0238464884459972,0.0139729641377926,2936.93676757812,-0.0996635779738426,0.637846946716309,0.201911479234695,4.16112634668184,0.0030373998451978,0.030481244401111,0.0375096452264474,0.0466255471110344,-2.21023219683276,0.377445459365845,0.00303834327496588,0.27581125497818,0.0922888964414597,0.544766545295715,-0.0106202363967896
"23",1500,"Wilmington","NC",28,"361,559",NA,1,0.210386127233505,0.154762834310532,0.0638425275683403,0.059699222445488,0.0693439766764641,0.31749415397644,35616.59375,35616.59375,0.523209989070892,12.5939998626709,0.397269994020462,0.463090002536774,158.608832540955,0.0179445054382086,2143.6376953125,1,0,5.37879298718813,16.1018431108114,-0.152501195669174,0.0204221848398447,0.0193606019020081,3723.04418945312,0.15620619058609,0.60983794927597,0.119741775095463,0.489680787383975,0.00402300013229251,0.0327194178543474,0.017410713050982,0.0282147172838449,-1.22801708786696,0.433992803096771,0.00316997058689594,0.253468096256256,0.0956687778234482,0.556186378002167,-0.00026767942472361
"24",1600,"Wilson","NC",28,"216,840",NA,1,0.415887296199799,0.169431895017624,0.0531913377344608,0.0495036616921425,0.0556410886347294,0.360094964504242,31548.578125,31548.578125,0.514020025730133,11.2550001144409,0.40147003531456,0.443480014801025,126.675027576065,0.0150485755875707,2899.38598632812,1,0,5.0841433455338,15.8430309386471,-6.23140382766724,0.0352765470743179,0.0230584759265184,5704.5751953125,-0.0933423191308975,0.619499564170837,0.232196897268295,3.63343979844071,0.00323690008372068,0.0131986718317654,0.0153200516509869,0.0351080372929573,-1.39519497550068,0.398123025894165,0.00378931243903935,0.291424989700317,0.0871220976114273,0.524502336978912,-0.00651335017755628
"25",1701,"Raleigh","NC",28,"1,412,127",NA,1,0.230159178376198,0.159349977970123,0.0987871885299683,0.0872595235705376,0.113775409758091,0.249537155032158,40545.80859375,40545.80859375,0.508599996566772,17.761999130249,0.330980002880096,0.448480010032654,315.488613102967,0.017746152356267,3146.70458984375,1,0,5.72967973629583,15.9593498024512,-0.358687907457352,NA,0.0120385773479939,5642.4521484375,0.134529903531075,0.694439113140106,0.141298800706863,2.94095538100451,0.00398200005292892,0.0333610220610469,0.0226608513256952,0.0851955488324165,-0.401361274613832,0.399459809064865,0.00223642168566585,0.210633739829063,0.0852487534284592,0.544314742088318,-0.0088226655498147
"26",1702,"Henderson","NC",28,"62,926",NA,0,0.499316662549973,0.094956636428833,0.0335115529596806,0.0321435742080212,0.0337902121245861,0.344931304454803,29491.89453125,29491.89453125,0.496300011873245,12.6800003051758,0.369500011205673,0.400350004434586,160.782407739258,0.0137738958001137,2116.28100585938,1,0,5.43177245289921,16.5067861715749,-10.2838697433472,0.0420721285045147,0.015891682356596,770,-0.156116917729378,0.580119013786316,0.26197674870491,1.0731109005963,0.00293580000288785,0.0148269395798239,0.019816927819979,0.0309042539447546,-1.63570953823914,0.437164276838303,0.00362330349162221,0.339423835277557,0.0861957520246506,0.524140238761902,-0.0223576948046684
"27",1800,"Goldsboro","NC",28,"222,553",NA,1,0.311013549566269,0.113206170499325,0.0255560036748648,0.0289702489972115,0.021158205345273,0.348412871360779,28924.625,28924.625,0.457329988479614,11.1100006103516,0.34622997045517,0.500590026378632,123.432113562012,0.0134048638865352,1843.96594238281,1,0,4.78638379857108,16.2939388916515,-4.02344226837158,0.0152137661352754,0.0179732460528612,2664.69091796875,-0.0909564942121506,0.617356896400452,0.190936014056206,1.48144122905771,0.0035067000426352,0.0164859606475761,0.0213387372895445,0.0650408715009689,-1.61206019612476,0.394661039113998,0.00255648768506944,0.250205278396606,0.0843854248523712,0.554768979549408,-0.00857215560972691
"28",1900,"Jacksonville","NC",28,"536,909",NA,1,0.256112307310104,0.135573208332062,0.0491440445184708,0.0481593050062656,0.0483803264796734,0.375161409378052,29500.390625,29500.390625,0.464450001716614,11.5939998626709,0.34850999712944,0.516839981079102,134.420832815613,0.0139134330675006,2523.38500976562,1,0,5.02274551449069,16.2804131731351,0.757559418678284,0.023776026442647,0.0130375912413001,1084.97180175781,0.0210337601602077,0.653813183307648,0.126233577728271,0.810921694636326,0.00367120001465082,0.0327336662264928,0.0385633319612821,0.0340684987604618,-1.92577650049953,0.34186053276062,0.00219896133057773,0.243429154157639,0.0843070149421692,0.544095396995544,-0.00426817545667291
