"","char.par_state","num.par_state","char.par_stateabbrv","char.par_cz","num.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"32","Virginia",47,"VA","2300",362,12421,6329,6091,0.0009661,8.05e-05,0.0004831,8.05e-05,8.05e-05,0.000161,0,0.00158,0,0.000948,0,0.000158,0.000316,0,0.000158,0.0003284,0.0001642,0,0.0001642,0,0,0,0
"33","Virginia",47,"VA","2400",509,59409,29711,29691,0.0017674,0.000101,0.0005891,0.0001852,0.0001683,0.0002357,0.0003366,0.0027599,0.0001683,0.0009088,0.0002693,0.0003366,0.0003702,0.0005385,0.0001683,0.0007746,3.37e-05,0.0002694,0.000101,0,0.000101,0.0001347,0.0001347
"34","Virginia",47,"VA","2500",431,33704,17000,16703,0.0015132,0.0001484,0.0005637,0.0002077,0.0001484,0.0002077,0.000178,0.0024118,0.0002353,0.0009412,0.0002941,0.0002353,0.0003529,0.0002941,5.88e-05,0.0005987,5.99e-05,0.0001796,0.0001197,5.99e-05,5.99e-05,5.99e-05,5.99e-05
"35","North Carolina",34,"NC","2600",512,9231,4610,4621,0.00065,0,0.0002167,0.0001083,0,0.0001083,0.0001083,0.0008677,0,0.0002169,0.0002169,0,0.0002169,0.0002169,0,0.0004328,0,0.0002164,0,0,0,0,0.0002164
"36","Mississippi",25,"MS","2700",253,28312,14207,14104,0.0007064,0.0001766,0.000106,0.000106,7.06e-05,0.0001413,0.000106,0.0010558,0.0001408,0.0002112,0.0001408,0.0001408,0.0002112,0.0002112,0,0.0003545,0.0002127,0,7.09e-05,0,7.09e-05,0,0
"37","Mississippi",25,"MS","2800",334,7792,3981,3811,0.0005133,0.0001283,0,0,0.0001283,0,0.0002567,0.0010048,0.0002512,0,0,0.0002512,0,0.0005024,0,0,0,0,0,0,0,0,0
"38","Mississippi",25,"MS","2900",263,10375,5135,5239,0.0003855,0,9.64e-05,9.64e-05,0,0,0.0001928,0.0005842,0,0.0001947,0,0,0,0.0003895,0,0.0001909,0,0,0.0001909,0,0,0,0
"39","Mississippi",25,"MS","3001",318,3319,1608,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Mississippi",25,"MS","3002",681,3141,1526,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Mississippi",25,"MS","3003",290,37168,18645,18513,0.0007533,8.07e-05,0.000296,0.0001076,5.38e-05,2.69e-05,0.0001076,0.0012872,0.0001609,0.0005363,0.0001609,0.0001073,5.36e-05,0.0002145,5.36e-05,0.0002161,0,5.4e-05,5.4e-05,0,0,0,0.000108
"42","Mississippi",25,"MS","3101",383,7425,3782,3642,0.0002694,0,0.0001347,0,0.0001347,0,0,0.0005288,0,0.0002644,0,0.0002644,0,0,0,0,0,0,0,0,0,0,0
"43","Mississippi",25,"MS","3102",77,3308,1710,1598,0.0009069,0,0.0006046,0,0,0.0003023,0,0.0011696,0,0.0005848,0,0,0.0005848,0,0,0.0006258,0,0.0006258,0,0,0,0,0
"44","Louisiana",19,"LA","3201",294,1836,902,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
