par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
2500,Newport News,Virginia,VA,33704,0.0015132,0.0001484,0.0005637,0.0002077,0.0001484,0.0002077,0.000178,0.0000593,17000,0.0024118,0.0002353,0.0009412,0.0002941,0.0002353,0.0003529,0.0002941,0.0000588,16703,0.0005987,0.0000599,0.0001796,0.0001197,0.0000599,0.0000599,0.0000599,0.0000599
2600,Roanoke Rapids,North Carolina,NC,9231,0.00065,0,0.0002167,0.0001083,0,0.0001083,0.0001083,0.0001083,4610,0.0008677,0,0.0002169,0.0002169,0,0.0002169,0.0002169,0,4621,0.0004328,0,0.0002164,0,0,0,0,0.0002164
2700,Gulfport,Mississippi,MS,28312,0.0007064,0.0001766,0.000106,0.000106,0.0000706,0.0001413,0.000106,0,14207,0.0010558,0.0001408,0.0002112,0.0001408,0.0001408,0.0002112,0.0002112,0,14104,0.0003545,0.0002127,0,0.0000709,0,0.0000709,0,0
2800,Laurel,Mississippi,MS,7792,0.0005133,0.0001283,0,0,0.0001283,0,0.0002567,0,3981,0.0010048,0.0002512,0,0,0.0002512,0,0.0005024,0,3811,0,0,0,0,0,0,0,0
2900,Hattiesburg,Mississippi,MS,10375,0.0003855,0,0.0000964,0.0000964,0,0,0.0001928,0,5135,0.0005842,0,0.0001947,0,0,0,0.0003895,0,5239,0.0001909,0,0,0.0001909,0,0,0,0
3001,Kosciusko,Mississippi,MS,3319,0,0,0,0,0,0,0,0,1608,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0,0
3002,Yazoo City,Mississippi,MS,3141,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,0,0,0,1612,0,0,0,0,0,0,0,0
3003,Jackson,Mississippi,MS,37168,0.0007533,0.0000807,0.000296,0.0001076,0.0000538,0.0000269,0.0001076,0.0000807,18645,0.0012872,0.0001609,0.0005363,0.0001609,0.0001073,0.0000536,0.0002145,0.0000536,18513,0.0002161,0,0.000054,0.000054,0,0,0,0.000108
3101,McComb,Mississippi,MS,7425,0.0002694,0,0.0001347,0,0.0001347,0,0,0,3782,0.0005288,0,0.0002644,0,0.0002644,0,0,0,3642,0,0,0,0,0,0,0,0
3102,Brookhaven,Mississippi,MS,3308,0.0009069,0,0.0006046,0,0,0.0003023,0,0,1710,0.0011696,0,0.0005848,0,0,0.0005848,0,0,1598,0.0006258,0,0.0006258,0,0,0,0,0
3201,Jena,Louisiana,LA,1836,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0
3202,Natchez,Mississippi,MS,5248,0.0001905,0,0.0001905,0,0,0,0,0,2585,0.0003868,0,0.0003868,0,0,0,0,0,2663,0,0,0,0,0,0,0,0
3203,Vicksburg,Mississippi,MS,6238,0.0004809,0.0001603,0.0001603,0,0,0,0.0001603,0,3076,0.0009753,0.0003251,0.0003251,0,0,0,0.0003251,0,3162,0,0,0,0,0,0,0,0
3300,New Orleans,Louisiana,LA,92264,0.0012356,0.0000867,0.0003143,0.0001951,0.0001084,0.0001626,0.000271,0.0000975,45766,0.0021195,0.000153,0.0005681,0.0002622,0.0001967,0.0002841,0.0005026,0.000153,46479,0.0003658,0.0000215,0.0000645,0.0001291,0.0000215,0.000043,0.000043,0.000043
3400,Houma,Louisiana,LA,20165,0.0007935,0.0000496,0.0001488,0,0.0000496,0.0000496,0.0004959,0,9942,0.0015088,0.0001006,0.0003018,0,0.0001006,0.0001006,0.0009053,0,10220,0.0000978,0,0,0,0,0,0.0000978,0
3500,Baton Rouge,Louisiana,LA,54918,0.00122,0.0001275,0.0002913,0.0002731,0.0000728,0.0000728,0.0003278,0.0000546,27508,0.0021085,0.0001454,0.0004362,0.0005089,0.0001454,0.0001454,0.000618,0.0001091,27371,0.0003288,0.0001096,0.0001461,0.0000365,0,0,0.0000365,0
3600,Alexandria,Louisiana,LA,13406,0.0002984,0.0000746,0.0000746,0,0.0000746,0.0000746,0,0,6746,0.0005929,0.0001482,0.0001482,0,0.0001482,0.0001482,0,0,6659,0,0,0,0,0,0,0,0
3700,Lake Charles,Louisiana,LA,23418,0.0008967,0.0002135,0.0001708,0.0000854,0.0000854,0,0.0002562,0.0000854,11775,0.0014437,0.0003397,0.0003397,0.0001699,0.0000849,0,0.0004246,0.0000849,11642,0.0003436,0.0000859,0,0,0.0000859,0,0.0000859,0.0000859
3800,Lafayette,Louisiana,LA,39161,0.0009448,0.0000255,0.0002043,0.0000511,0.0000766,0.0001532,0.0003575,0.0000766,19507,0.0016917,0.0000513,0.0003588,0.0000513,0.0001025,0.0003076,0.0007177,0.0001025,19651,0.0002036,0,0.0000509,0.0000509,0.0000509,0,0,0.0000509
3901,Monroe,Louisiana,LA,17884,0.0006151,0.0000559,0.0002237,0.0000559,0,0.0000559,0.0002237,0,8893,0.0011245,0.0001124,0.0004498,0,0,0.0001124,0.0004498,0,8991,0.0001112,0,0,0.0001112,0,0,0,0
3902,Lake Providence,Louisiana,LA,1640,0.0006098,0.0006098,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,849,0.0011779,0.0011779,0,0,0,0,0,0
4001,Magnolia,Arkansas,AR,2303,0.0008684,0,0.0004342,0,0,0,0,0.0004342,1167,0.0017138,0,0.0008569,0,0,0,0,0.0008569,1136,0,0,0,0,0,0,0,0
