"","char.par_state","num.par_state","char.par_stateabbrv","num.par_cz","char.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","log.num.inventor.na","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","log.num.inventor.g.m.na","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","log.num.inventor.g.f.na","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"38","Mississippi",25,"MS",2900,"Hattiesburg",10375,5135,5239,0.0003855,-7.86096936496089,0,9.64e-05,9.64e-05,0,0,0.0001928,0.0005842,-7.44526716801063,0,0.0001947,0,0,0,0.0003895,0,0.0001909,-8.56376082723257,0,0,0.0001909,0,0,0,0
"41","Mississippi",25,"MS",3003,"Jackson",37168,18645,18513,0.0007533,-7.19104700313263,8.07e-05,0.000296,0.0001076,5.38e-05,2.69e-05,0.0001076,0.0012872,-6.6552859622861,0.0001609,0.0005363,0.0001609,0.0001073,5.36e-05,0.0002145,5.36e-05,0.0002161,-8.43976929445143,0,5.4e-05,5.4e-05,0,0,0,0.000108
"43","Mississippi",25,"MS",3102,"Brookhaven",3308,1710,1598,0.0009069,-7.00547836751075,0,0.0006046,0,0,0.0003023,0,0.0011696,-6.75109346896876,0,0.0005848,0,0,0.0005848,0,0,0.0006258,-7.37647972672949,0,0.0006258,0,0,0,0,0
"47","Louisiana",19,"LA",3300,"New Orleans",92264,45766,46479,0.0012356,-6.69619859691985,8.67e-05,0.0003143,0.0001951,0.0001084,0.0001626,0.000271,0.0021195,-6.15657506717158,0.000153,0.0005681,0.0002622,0.0001967,0.0002841,0.0005026,0.000153,0.0003658,-7.91342382200751,2.15e-05,6.45e-05,0.0001291,2.15e-05,4.3e-05,4.3e-05,4.3e-05
"48","Louisiana",19,"LA",3400,"Houma",20165,9942,10220,0.0007935,-7.13905701799781,4.96e-05,0.0001488,0,4.96e-05,4.96e-05,0.0004959,0.0015088,-6.49644064608508,0.0001006,0.0003018,0,0.0001006,0.0001006,0.0009053,0,9.78e-05,-9.2325859809235,0,0,0,0,0,9.78e-05,0
"49","Louisiana",19,"LA",3500,"Baton Rouge",54918,27508,27371,0.00122,-6.70890442023697,0.0001275,0.0002913,0.0002731,7.28e-05,7.28e-05,0.0003278,0.0021085,-6.16177848477766,0.0001454,0.0004362,0.0005089,0.0001454,0.0001454,0.000618,0.0001091,0.0003288,-8.02006089478225,0.0001096,0.0001461,3.65e-05,0,0,3.65e-05,0
"51","Louisiana",19,"LA",3700,"Lake Charles",23418,11775,11642,0.0008967,-7.01678920000627,0.0002135,0.0001708,8.54e-05,8.54e-05,0,0.0002562,0.0014437,-6.54054601632851,0.0003397,0.0003397,0.0001699,8.49e-05,0,0.0004246,8.49e-05,0.0003436,-7.97603236785417,8.59e-05,0,0,8.59e-05,0,8.59e-05,8.59e-05
"52","Louisiana",19,"LA",3800,"Lafayette",39161,19507,19651,0.0009448,-6.96453729308112,2.55e-05,0.0002043,5.11e-05,7.66e-05,0.0001532,0.0003575,0.0016917,-6.38202133848303,5.13e-05,0.0003588,5.13e-05,0.0001025,0.0003076,0.0007177,0.0001025,0.0002036,-8.49935327328791,0,5.09e-05,5.09e-05,5.09e-05,0,0,5.09e-05
"53","Louisiana",19,"LA",3901,"Monroe",17884,8893,8991,0.0006151,-7.39372570174995,5.59e-05,0.0002237,5.59e-05,0,5.59e-05,0.0002237,0.0011245,-6.7904167865649,0.0001124,0.0004498,0,0,0.0001124,0.0004498,0,0.0001112,-9.10418017614779,0,0,0.0001112,0,0,0,0
"56","Louisiana",19,"LA",4002,"Shreveport",34528,17390,17130,0.0006372,-7.35842697992838,0,0.0001448,5.79e-05,2.9e-05,8.69e-05,0.0002317,0.0012076,-6.71912036013159,0,0.0002875,0.000115,5.75e-05,0.0001725,0.00046,0.000115,5.84e-05,-9.74819466813009,0,0,0,0,0,0,5.84e-05
